Entidad Federativa,Porcentaje 2008,Porcentaje 2010,Porcentaje 2012,Porcentaje 2014,Porcentaje 2016,Porcentaje 2018,Porcentaje 2020
Aguascalientes,18.1,17.2,15.3,14.4,15.8,15.6,15.7
Baja California,18,16.9,14.6,15.4,14.1,15.9,16.1
Baja California Sur,16.6,16.9,15.7,14.9,14.3,13.6,14.5
Campeche,22.9,24.1,19.2,18.8,18,19.4,19.2
Coahuila de Zaragoza,13.7,12.2,12.5,12.5,13.7,14.2,14.3
Colima,18.6,18.8,18.8,17.5,17,18.1,17.7
Chiapas,38,35,33.5,30.7,30.2,31.2,32.5
Chihuahua,18.6,17.5,16.1,17.3,17.1,17.2,16.2
Ciudad de México,10.6,9.5,9.2,8.8,8.9,9.4,9.5
Durango,21.6,19,16.1,15.5,16,16.3,16.9
Guanajuato,25.8,23.6,23.9,21,21.7,22.2,23.2
Guerrero,28.5,28.4,26.8,26.8,26,25.8,26.6
Hidalgo,23.7,23.4,20.6,19.1,19.9,19.7,18.9
Jalisco,21.6,20.6,18.4,17.7,17.9,19.3,18.5
México,18.7,18.5,15.4,15.3,14.8,14.7,14.1
Michoacán de Ocampo,31.9,30.6,26.1,27.6,28.4,27,29.4
Morelos,21.6,19.3,19.2,16.6,17.5,19.3,17.7
Nayarit,21.3,20.2,19.3,17.4,17.7,19.2,18.3
Nuevo León,15,13.1,12.7,10.8,12.2,13.4,14.4
Oaxaca,30.6,30,27.7,27.2,28.5,29.6,29.6
Puebla,25.7,25.3,24.1,22.9,21.1,21.3,23.2
Querétaro,20.4,19.5,17.5,16.4,15.7,17.5,17
Quintana Roo,18.7,18.3,17.6,15.1,16,17,17.5
San Luis Potosí,23,22.2,21.2,18.4,18.8,19.7,19.2
Sinaloa,21.2,19.3,18.4,19.1,16.5,17.9,16.8
Sonora,16.1,14,13.6,12.1,13.4,14,15.6
Tabasco,21.5,19.8,19.1,17,17.6,18,16.6
Tamaulipas,17.3,14.4,15.5,16,15.5,16.1,15.6
Tlaxcala,17.7,15.6,15.8,14.9,14.2,15.9,16.1
Veracruz de Ignacio de la Llave,28.4,25.8,25.8,27.8,26.4,26.4,27.8
Yucatán,26.2,24.7,23.4,21.8,21.7,21.6,21.8
Zacatecas,24.5,22.9,21.1,21.6,19.3,20.8,21.9
